'11-9033,"        Education administrators, postsecondary",Line item,226.600006103516,230.5,1.70000004768372,15.1000003814697,103960,Problem solving and decision making,Adaptability,Writing and reading,14.8000001907349,Projections for 11-9033
'11-9039,"        Education administrators, all other",Line item,60.2000007629395,61.7000007629395,2.5,4.09999990463257,89040,Problem solving and decision making,Leadership,Adaptability,3.90000009536743,Projections for 11-9039
'11-9041,Architectural and engineering managers,Line item,212.5,220.5,3.79999995231628,14.5,167740,Adaptability,Problem solving and decision making,Leadership,13.6999998092651,Projections for 11-9041
'11-9051,Food service managers,Line item,352.799987792969,375.299987792969,6.40000009536743,42,65310,Customer service,Adaptability,Interpersonal,39.7999992370605,Projections for 11-9051
'11-9070,Entertainment and recreation managers,Summary,48.2999992370605,51.7000007629395,7,6.09999990463257,77650,NULL,NULL,NULL,5.80000019073486,Projections for 11-9070
'11-9071,Gambling managers,Line item,5.09999990463257,5.19999980926514,1.20000004768372,0.600000023841858,85580,Adaptability,Problem solving and decision making,Customer service,0.600000023841858,Projections for 11-9071
'11-9072,"        Entertainment and recreation managers, except gambling",Line item,43.2000007629395,46.5,7.69999980926514,5.5,77180,Adaptability,Interpersonal,Speaking and listening,5.19999980926514,Projections for 11-9072
'11-9081,Lodging managers,Line item,52,53.7999992370605,3.40000009536743,5.40000009536743,68130,Adaptability,Leadership,Interpersonal,5.19999980926514,Projections for 11-9081
'11-9111,Medical and health services managers,Line item,616.200012207031,759.099975585938,23.2000007629395,62.0999984741211,117960,Adaptability,Leadership,Critical and analytical thinking,47.7999992370605,Projections for 11-9111
'11-9121,Natural sciences managers,Line item,104.300003051758,108.199996948242,3.70000004768372,8.5,161180,Adaptability,Writing and reading,Leadership,8.10000038146973,Projections for 11-9121
'11-9131,Postmasters and mail superintendents,Line item,13.1000003814697,12.6999998092651,-3.5,0.899999976158142,92730,Leadership,Adaptability,Customer service,1,Projections for 11-9131
'11-9141,"      Property, real estate, and community association managers",Line item,466.100006103516,483.100006103516,3.59999990463257,39,66700,Adaptability,Leadership,Customer service,37.2999992370605,Projections for 11-9141
'11-9151,Social and community service managers,Line item,219.800003051758,233.899993896484,6.40000009536743,18.6000003814697,78240,Adaptability,Interpersonal,Problem solving and decision making,17.2000007629395,Projections for 11-9151
'11-9161,Emergency management directors,Line item,13.1999998092651,13.6000003814697,3,1,86130,Adaptability,Interpersonal,Leadership,1,Projections for 11-9161
'11-9170,Personal service managers,Summary,57.0999984741211,60.0999984741211,5.19999980926514,4.59999990463257,70560,NULL,NULL,NULL,4.30000019073486,Projections for 11-9170
'11-9171,Funeral home managers,Line item,32.0999984741211,33.4000015258789,4.09999990463257,2.59999990463257,76830,Interpersonal,Adaptability,Customer service,2.40000009536743,Projections for 11-9171
'11-9179,"        Personal service managers, all other",Line item,25.1000003814697,26.7000007629395,6.5,2.09999990463257,61340,Interpersonal,Adaptability,Customer service,1.89999997615814,Projections for 11-9179
'11-9199,"      Managers, all other",Line item,1333.69995117188,1393.5,4.5,106.699996948242,136550,Adaptability,Leadership,Problem solving and decision making,100.699996948242,Projections for 11-9199
'13-0000,Business and financial operations occupations,Summary,11262,11848.900390625,5.19999980926514,942.5,80920,NULL,NULL,NULL,883.799987792969,Projections for 13-0000
'13-1000,Business operations specialists,Summary,7921.10009765625,8356.2998046875,5.5,689.900024414063,80410,NULL,NULL,NULL,646.400024414063,Projections for 13-1000
'13-1011,"      Agents and business managers of artists, performers, and athletes",Line item,21.3999996185303,23.2000007629395,8.69999980926514,2.20000004768372,96310,Adaptability,Speaking and listening,Problem solving and decision making,2.09999990463257,Projections for 13-1011
'13-1020,Buyers and purchasing agents,Line item,522.200012207031,552.299987792969,5.80000019073486,52.2000007629395,75650,Adaptability,Problem solving and decision making,Detail oriented,49.2000007629395,Projections for 13-1020
'13-1030,"      Claims adjusters, appraisers, examiners, and investigators",Summary,365.299987792969,346.299987792969,-5.19999980926514,21.6000003814697,76790,NULL,NULL,NULL,23.5,Projections for 13-1030
'13-1031,"        Claims adjusters, examiners, and investigators",Line item,356.100006103516,337.899993896484,-5.09999990463257,21.1000003814697,76790,Adaptability,Problem solving and decision making,Writing and reading,22.8999996185303,Projections for 13-1031
'13-1032,"        Insurance appraisers, auto damage",Line item,9.19999980926514,8.39999961853027,-8.19999980926514,0.5,76650,Customer service,Problem solving and decision making,Computers and information technology,0.600000023841858,Projections for 13-1032
'13-1041,Compliance officers,Line item,418,430.299987792969,3,33.2999992370605,78420,Writing and reading,Detail oriented,Customer service,32,Projections for 13-1041
'13-1051,Cost estimators,Line item,221.399993896484,212.100006103516,-4.19999980926514,16.8999996185303,77070,Mathematics,Writing and reading,Critical and analytical thinking,17.8999996185303,Projections for 13-1051
'13-1070,Human resources workers,Summary,1013.70001220703,1072.30004882813,5.80000019073486,87.1999969482422,74220,NULL,NULL,NULL,81.3000030517578,Projections for 13-1070
'13-1071,Human resources specialists,Line item,944.299987792969,1002.70001220703,6.19999980926514,81.8000030517578,72910,Adaptability,Interpersonal,Writing and reading,75.9000015258789,Projections for 13-1071
'13-1074,Farm labor contractors,Line item,3.90000009536743,4.19999980926514,6,0.300000011920929,48690,Problem solving and decision making,Detail oriented,Leadership,0.300000011920929,Projections for 13-1074
'13-1075,Labor relations specialists,Line item,65.4000015258789,65.4000015258789,-0.100000001490116,5.09999990463257,93500,Writing and reading,Adaptability,Problem solving and decision making,5.09999990463257,Projections for 13-1075
'13-1080,Logisticians and project management specialists,Summary,1287.19995117188,1386.19995117188,7.69999980926514,104.699996948242,98070,NULL,NULL,NULL,94.8000030517578,Projections for 13-1080
'13-1081,Logisticians,Line item,241,281.299987792969,16.7000007629395,26.3999996185303,80880,Adaptability,Critical and analytical thinking,Problem solving and decision making,22.3999996185303,Projections for 13-1081
'13-1082,Project management specialists,Line item,1046.30004882813,1105,5.59999990463257,78.1999969482422,100750,Adaptability,Leadership,Writing and reading,72.4000015258789,Projections for 13-1082
'13-1111,Management analysts,Line item,1075.09997558594,1169.69995117188,8.80000019073486,98.0999984741211,101190,Adaptability,Writing and reading,Problem solving and decision making,88.6999969482422,Projections for 13-1111
'13-1121,"      Meeting, convention, and event planners",Line item,155.800003051758,163.300003051758,4.80000019073486,15.5,59440,Adaptability,Problem solving and decision making,Interpersonal,14.8000001907349,Projections for 13-1121
'13-1131,Fundraisers,Line item,134.399993896484,140.199996948242,4.30000019073486,10.1999998092651,66490,Adaptability,Writing and reading,Speaking and listening,9.69999980926514,Projections for 13-1131
'13-1141,"      Compensation, benefits, and job analysis specialists",Line item,107,112.699996948242,5.30000019073486,8.5,77020,Adaptability,Detail oriented,Problem solving and decision making,7.90000009536743,Projections for 13-1141
'13-1151,Training and development specialists,Line item,452.299987792969,501,10.8000001907349,43.9000015258789,65850,Adaptability,Writing and reading,Speaking and listening,39.0999984741211,Projections for 13-1151
'13-1161,Market research analysts and marketing specialists,Line item,941.700012207031,1004.70001220703,6.69999980926514,87.1999969482422,76950,Writing and reading,Critical and analytical thinking,Adaptability,80.9000015258789,Projections for 13-1161
'13-1199,"      Business operations specialists, all other",Line item,1205.69995117188,1242,3,108.199996948242,81270,Adaptability,Writing and reading,Problem solving and decision making,104.599998474121,Projections for 13-1199
'13-2000,Financial specialists,Summary,3340.89990234375,3492.60009765625,4.5,252.600006103516,82140,NULL,NULL,NULL,237.399993896484,Projections for 13-2000
